Name,Clade,Family,EQ,ToolUse,Feeding,SearchHits,VideosFound,LiteratureExists_Binary
Strigops habroptila,Strigopidae,Strigopidae,1.049,0,Generalist,3580,0,0
Nestor notabilis,Strigopidae,Strigopidae,1.237,1,Generalist,3560,0,1
Nestor meridionalis,Strigopidae,Strigopidae,1.207,0,Generalist,3800,0,0
Nymphicus hollandicus,Cacatuidae,Cacatuidae,0.847,0,Specialist,15100,0,0
Calyptorhynchus banksii,Cacatuidae,Cacatuidae,1.183,0,Generalist,1190,0,0
Calyptorhynchus lathami,Cacatuidae,Cacatuidae,1.431,0,Specialist,772,0,0
Calyptorhynchus funereus,Cacatuidae,Cacatuidae,1.501,0,Generalist,1140,0,0
Calyptorhynchus baudinii,Cacatuidae,Cacatuidae,1.572,0,Specialist,276,0,0
Calyptorhynchus latirostris,Cacatuidae,Cacatuidae,1.541,0,Generalist,948,0,0
Probosciger aterrimus,Cacatuidae,Cacatuidae,1.654,1,Generalist,3160,0,1
Callocephalon fimbriatum,Cacatuidae,Cacatuidae,1.544,0,Generalist,1250,0,0
Eolophus roseicapilla,Cacatuidae,Cacatuidae,1.077,0,Specialist,2200,0,0
Lophochroa leadbeateri,Cacatuidae,Cacatuidae,1.184,0,Specialist,1240,0,0
Cacatua tenuirostris,Cacatuidae,Cacatuidae,1.365,0,Generalist,1900,0,0
Cacatua pastinator,Cacatuidae,Cacatuidae,1.229,0,Specialist,355,0,0
Cacatua sanguinea,Cacatuidae,Cacatuidae,1.288,1,Generalist,11500,0,1
Cacatua goffiniana,Cacatuidae,Cacatuidae,1.761,1,Generalist,860,4,1
Cacatua ducorpsii,Cacatuidae,Cacatuidae,1.303,0,Generalist,430,0,0
Cacatua haematuropygia,Cacatuidae,Cacatuidae,1.189,0,Generalist,621,0,0
Cacatua galerita,Cacatuidae,Cacatuidae,1.419,1,Generalist,13400,5,1
Cacatua ophthalmica,Cacatuidae,Cacatuidae,1.897,0,Generalist,596,0,0
Cacatua sulphurea,Cacatuidae,Cacatuidae,1.633,1,Generalist,3190,4,1
Cacatua moluccensis,Cacatuidae,Cacatuidae,1.452,1,Generalist,3800,2,1
Cacatua alba,Cacatuidae,Cacatuidae,1.604,1,Specialist,15900,7,0
Psittacus erithacus,Psittacinae,Psittacidae,1.245,1,Generalist,140000,10,1
Psittacus timneh,Psittacinae,Psittacidae,1.362,1,Generalist,2680,4,0
Poicephalus gulielmi,Psittacinae,Psittacidae,1.353,0,Generalist,705,0,0
Poicephalus robustus,Psittacinae,Psittacidae,1.378,0,Generalist,1230,0,0
Poicephalus meyeri,Psittacinae,Psittacidae,1.532,0,Generalist,557,0,0
Poicephalus cryptoxanthus,Psittacinae,Psittacidae,1.451,1,Generalist,489,1,0
Poicephalus senegalus,Psittacinae,Psittacidae,1.36,1,Generalist,2410,1,0
Touit purpuratus,Arini,Psittacidae,1.305,0,Specialist,91,0,0
Psilopsiagon aymara,Arini,Psittacidae,0.871,0,Generalist,630,0,0
Bolborhynchus lineola,Arini,Psittacidae,1.219,0,Generalist,932,0,0
Nannopsittaca panychlora,Arini,Psittacidae,1.054,0,Specialist,70,0,0
Myiopsitta monachus,Arini,Psittacidae,1.379,0,Generalist,18300,0,0
Brotogeris tirica,Arini,Psittacidae,1.421,0,Generalist,1070,0,0
Brotogeris versicolurus,Arini,Psittacidae,1.294,0,Generalist,737,0,0
Brotogeris jugularis,Arini,Psittacidae,1.112,0,Generalist,2880,0,0
Brotogeris chrysoptera,Arini,Psittacidae,1.002,0,Specialist,165,0,0
Triclaria malachitacea,Arini,Psittacidae,1.372,0,Generalist,295,0,0
Pyrilia haematotis,Androglossini,Psittacidae,1.178,0,Generalist,242,0,0
Pyrilia barrabandi,Androglossini,Psittacidae,1.17,0,Generalist,201,0,0
Pyrilia caica,Androglossini,Psittacidae,1.054,0,Specialist,74,0,0
Pionus maximiliani,Androglossini,Psittacidae,1.137,0,Specialist,1410,0,0
Pionus menstruus,Androglossini,Psittacidae,1.207,0,Generalist,2440,0,0
Pionus senilis,Androglossini,Psittacidae,1.207,0,Generalist,7970,0,0
Pionus chalcopterus,Androglossini,Psittacidae,1.352,1,Specialist,1260,1,0
Graydidascalus brachyurus,Androglossini,Psittacidae,1.248,0,Specialist,99,0,0
Amazona vinacea,Androglossini,Psittacidae,1.123,0,Generalist,5160,0,0
Amazona albifrons,Androglossini,Psittacidae,1.215,0,Generalist,3210,0,0
Amazona leucocephala,Androglossini,Psittacidae,1.104,0,Generalist,2380,0,0
Amazona ventralis,Androglossini,Psittacidae,1.11,0,Generalist,4050,0,0
Amazona autumnalis,Androglossini,Psittacidae,1.249,1,Specialist,5920,3,0
Amazona viridigenalis,Androglossini,Psittacidae,1.238,1,Generalist,3810,3,0
Amazona xantholora,Androglossini,Psittacidae,1.704,1,Generalist,659,1,0
Amazona oratrix,Androglossini,Psittacidae,1.255,1,Generalist,11300,2,0
Amazona auropalliata,Androglossini,Psittacidae,1.393,1,Generalist,3070,5,0
Amazona ochrocephala,Androglossini,Psittacidae,1.128,1,Generalist,3990,0,1
Amazona aestiva,Androglossini,Psittacidae,1.265,1,Generalist,9240,1,0
Amazona farinosa,Androglossini,Psittacidae,1.175,0,Generalist,2720,0,0
Amazona amazonica,Androglossini,Psittacidae,1.424,0,Specialist,38800,0,0
Forpus cyanopygius,Forpini,Psittacidae,1.033,0,Generalist,304,0,0
Forpus passerinus,Forpini,Psittacidae,1.181,0,Generalist,2220,0,0
Forpus conspicillatus,Forpini,Psittacidae,1.128,0,Generalist,1020,0,0
Forpus coelestis,Forpini,Psittacidae,1.266,0,Generalist,3390,0,0
Pionites melanocephalus,Arini,Psittacidae,1.629,0,Generalist,864,0,0
Pionites leucogaster,Arini,Psittacidae,1.502,0,Generalist,1970,0,0
Deroptyus accipitrinus,Arini,Psittacidae,1.619,0,Generalist,1100,0,0
Pyrrhura frontalis,Arini,Psittacidae,1.26,0,Generalist,1620,0,0
Pyrrhura perlata,Arini,Psittacidae,1.231,0,Generalist,1380,0,0
Pyrrhura molinae,Arini,Psittacidae,1.779,1,Generalist,5320,32,0
Pyrrhura picta,Arini,Psittacidae,1.303,0,Generalist,1060,0,0
Pyrrhura melanura,Arini,Psittacidae,1.437,0,Specialist,673,0,0
Pyrrhura hoffmanni,Arini,Psittacidae,1.543,0,Generalist,346,0,0
Enicognathus ferrugineus,Arini,Psittacidae,1.408,0,Generalist,1020,0,0
Anodorhynchus hyacinthinus,Arini,Psittacidae,1.573,1,Specialist,7390,0,1
Rhynchopsitta pachyrhyncha,Arini,Psittacidae,1.609,0,Specialist,32,0,0
Eupsittula nana,Arini,Psittacidae,1.815,0,Generalist,486,0,0
Eupsittula canicularis,Arini,Psittacidae,1.525,0,Generalist,854,0,0
Eupsittula aurea,Arini,Psittacidae,1.403,0,Generalist,1230,0,0
Eupsittula pertinax,Arini,Psittacidae,1.459,0,Generalist,445,0,0
Aratinga weddellii,Arini,Psittacidae,1.473,0,Generalist,823,0,0
Aratinga nenday,Arini,Psittacidae,1.493,1,Generalist,1460,3,0
Aratinga solstitialis,Arini,Psittacidae,1.652,1,Specialist,10500,2,0
Aratinga jandaya,Arini,Psittacidae,1.302,0,Specialist,1710,0,0
Cyanopsitta spixii,Arini,Psittacidae,1.194,0,Generalist,3760,0,0
Orthopsittaca manilatus,Arini,Psittacidae,1.469,0,Specialist,284,0,0
Primolius auricollis,Arini,Psittacidae,1.581,0,Generalist,624,0,0
Primolius maracana,Arini,Psittacidae,1.494,0,Specialist,1340,0,0
Ara ararauna,Arini,Psittacidae,1.718,0,Generalist,77700,0,0
Ara militaris,Arini,Psittacidae,1.443,0,Specialist,55700,0,0
Ara ambiguus,Arini,Psittacidae,1.224,0,Generalist,4110,0,0
Ara macao,Arini,Psittacidae,1.479,0,Generalist,142000,0,0
Ara chloropterus,Arini,Psittacidae,1.554,1,Generalist,5320,1,0
Ara severus,Arini,Psittacidae,1.696,0,Generalist,55400,0,0
Ognorhynchus icterotis,Arini,Psittacidae,1.703,0,Generalist,872,0,0
