Name,Tool Paper Year,EX Pre-Tool Papers,YR Pre-Tool Papers,Current General Papers,EX Pre-Tool Beh Papers,YR Pre-Tool Beh Papers,Current Beh Papers,Notes Year,Notes Counts
Strigops_habroptila,NA,137,137,137,21,21,21,,
Nestor_notabilis,2010,38,39,99,14,15,41,,
Nestor_meridionalis,NA,57,57,57,12,12,12,,
Nymphicus_hollandicus,NA,271,271,271,36,36,36,,
Calyptorhynchus_banksii,NA,33,33,33,11,11,11,,
Calyptorhynchus_lathami,NA,28,28,28,6,6,6,,
Calyptorhynchus_funereus,NA,26,26,26,5,5,5,,
Calyptorhynchus_baudinii,NA,18,18,18,5,5,5,,
Calyptorhynchus_latirostris,NA,40,40,40,8,8,8,,
Probosciger_aterrimus,2017,21,21,29,4,4,7,,
Callocephalon_fimbriatum,NA,12,12,12,0,0,0,,
Eolophus_roseicapilla,NA,15,15,15,2,2,2,,
Lophochroa_leadbeateri,NA,6,6,6,0,0,0,,
Cacatua_tenuirostris,NA,15,15,15,2,2,2,,
Cacatua_pastinator,NA,13,13,13,1,1,1,,
Cacatua_sanguinea,1970,5,5,10,1,1,1,"Originally in grey literature, then published in peer reviewed catalogue of tool use behaviours in 2010. In subsequent columns, pre-tool papers are those pre-2010.","Does not include 2002/2010 paper where this tool use is reported (because it is reported in a catalogue, hence spp name not in abstract/title/keywords of paper and not found by Scopus within that search)."
Cacatua_goffiniana,2012,9,9,36,0,0,17,,
Cacatua_ducorpsii,NA,3,3,3,0,0,0,,
Cacatua_haematuropygia,NA,5,5,5,0,0,0,,
Cacatua_galerita,1983,32,32,79,1,1,1,"Originally in grey literature, then published in peer reviewed catalogue of tool use behaviours in 2002. In subsequent columns, pre-tool papers are those pre-2002.","Does not include 2002/2010 paper where this tool use is reported (because it is reported in a catalogue, hence spp name not in abstract/title/keywords of paper and not found by Scopus within that search)."
Cacatua_ophthalmica,NA,6,6,6,1,1,1,,
Cacatua_sulphurea,1982,18,18,32,0,0,5,"Originally in grey literature, then published in peer reviewed catalogue of tool use behaviours in 2010. In subsequent columns, pre-tool papers are those pre-2010.","Does not include 2002/2010 paper where this tool use is reported (because it is reported in a catalogue, hence spp name not in abstract/title/keywords of paper and not found by Scopus within that search)."
